loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.4,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
91.0,9.0,3.0,2.0,318.0,2089.21,0.04,27.68,75.47,57833.24,0.7,3212.96,80.0,44.0,11.0,31.0,29.0,66.0,192.0,126.0,17.0,1
109.0,21.0,5.0,18.0,381.0,2547.56,0.04,28.37,89.79,72282.68,0.85,4015.7,97.0,41.0,12.0,24.0,28.0,75.0,229.0,152.0,38.0,1
505.0,106.0,41.0,82.0,2339.0,20696.93,0.01,75.93,272.58,1571506.88,6.9,87305.94,457.0,71.0,48.0,49.0,64.0,397.0,1397.0,942.0,178.0,1
107.0,25.0,7.0,14.0,619.0,4282.78,0.02,52.91,80.95,226588.75,1.43,12588.26,103.0,32.0,4.0,39.0,35.0,86.0,359.0,260.0,40.0,1
74.0,11.0,1.0,8.0,294.0,1917.93,0.03,28.77,66.66,55178.46,0.64,3065.47,60.0,71.0,14.0,49.0,29.0,63.0,169.0,125.0,21.0,1
602.0,136.0,123.0,123.0,2785.0,25942.69,0.01,105.26,246.47,2730637.23,8.65,151702.06,600.0,40.0,2.0,225.0,99.0,538.0,1641.0,1144.0,236.0,1
29.0,2.0,1.0,2.0,140.0,718.1,0.1,9.93,72.35,7127.8,0.24,395.99,28.0,3.0,1.0,8.0,8.0,27.0,73.0,67.0,3.0,1
36.0,3.0,1.0,1.0,254.0,1447.91,0.04,23.72,61.05,34338.99,0.48,1907.72,34.0,2.0,2.0,10.0,15.0,37.0,137.0,117.0,5.0,1
70.0,11.0,1.0,6.0,434.0,3047.71,0.04,26.63,114.46,81152.69,1.02,4508.48,57.0,14.0,13.0,18.0,28.0,102.0,240.0,194.0,21.0,1
109.0,20.0,12.0,4.0,223.0,1322.55,0.04,23.91,55.32,31619.49,0.44,1756.64,89.0,32.0,20.0,17.0,23.0,38.0,144.0,79.0,39.0,1
37.0,3.0,1.0,3.0,187.0,1095.44,0.04,24.97,43.87,27356.45,0.37,1519.8,35.0,15.0,2.0,24.0,21.0,37.0,99.0,88.0,5.0,1
90.0,29.0,8.0,9.0,488.0,3387.95,0.05,20.69,163.74,70100.61,1.13,3894.48,66.0,38.0,24.0,17.0,21.0,102.0,287.0,201.0,57.0,1
19.0,2.0,1.0,2.0,71.0,351.75,0.08,12.66,27.79,4451.81,0.12,247.32,18.0,25.0,1.0,9.0,15.0,16.0,44.0,27.0,3.0,1
152.0,21.0,4.0,5.0,430.0,2850.62,0.03,33.3,85.6,94929.66,0.95,5273.87,150.0,62.0,2.0,39.0,26.0,73.0,243.0,187.0,41.0,1
22.0,5.0,5.0,4.0,100.0,539.23,0.07,13.94,38.68,7516.89,0.18,417.61,22.0,0.0,0.0,12.0,17.0,25.0,59.0,41.0,9.0,1
69.0,12.0,1.0,1.0,536.0,3745.93,0.04,23.38,160.24,87570.07,1.25,4865.0,68.0,15.0,1.0,17.0,21.0,106.0,300.0,236.0,23.0,1
49.0,9.0,1.0,8.0,191.0,1166.73,0.05,21.31,54.76,24859.27,0.39,1381.07,46.0,1.0,3.0,10.0,25.0,44.0,116.0,75.0,12.0,1
48.0,3.0,1.0,2.0,248.0,1470.82,0.03,33.59,43.78,49408.04,0.49,2744.89,37.0,27.0,11.0,23.0,23.0,38.0,137.0,111.0,5.0,1
128.0,19.0,1.0,3.0,494.0,3310.02,0.02,50.76,65.2,168007.02,1.1,9333.72,107.0,62.0,21.0,34.0,34.0,70.0,285.0,209.0,37.0,1
32.0,6.0,1.0,5.0,186.0,1116.0,0.03,30.72,36.33,34286.0,0.37,1904.78,30.0,6.0,2.0,11.0,28.0,36.0,107.0,79.0,11.0,1
38.0,6.0,6.0,6.0,244.0,1447.1,0.05,21.71,66.64,31422.74,0.48,1745.71,38.0,6.0,0.0,20.0,19.0,42.0,148.0,96.0,11.0,1
34.0,6.0,6.0,6.0,176.0,1026.58,0.06,17.0,60.39,17452.01,0.34,969.56,34.0,5.0,0.0,19.0,19.0,38.0,108.0,68.0,11.0,1
16.0,3.0,1.0,3.0,60.0,300.0,0.11,9.33,32.14,2800.0,0.1,155.56,16.0,0.0,0.0,8.0,14.0,18.0,36.0,24.0,5.0,1
15.0,4.0,3.0,2.0,86.0,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14.0,6.0,1.0,8.0,18.0,22.0,50.0,36.0,7.0,1
14.0,3.0,1.0,3.0,47.0,215.49,0.16,6.43,33.52,1385.31,0.07,76.96,14.0,0.0,0.0,7.0,10.0,14.0,29.0,18.0,5.0,1
22.0,5.0,5.0,4.0,100.0,535.76,0.07,14.52,36.9,7779.61,0.18,432.2,22.0,0.0,0.0,13.0,17.0,24.0,59.0,41.0,9.0,1
22.0,3.0,1.0,3.0,74.0,370.0,0.12,8.11,45.57,3004.05,0.12,166.89,22.0,0.0,0.0,15.0,11.0,21.0,43.0,31.0,5.0,1
12.0,2.0,1.0,2.0,41.0,187.98,0.16,6.07,30.96,1141.33,0.06,63.41,12.0,0.0,0.0,8.0,10.0,14.0,24.0,17.0,3.0,1
25.0,8.0,1.0,4.0,110.0,611.0,0.08,12.13,50.38,7410.9,0.2,411.72,20.0,9.0,5.0,3.0,16.0,31.0,63.0,47.0,15.0,1
23.0,4.0,1.0,4.0,101.0,544.62,0.08,12.22,44.56,6656.52,0.18,369.81,23.0,0.0,0.0,12.0,15.0,27.0,57.0,44.0,7.0,1
8.0,1.0,1.0,1.0,49.0,238.04,0.14,7.03,33.87,1672.9,0.08,92.94,8.0,4.0,0.0,6.0,11.0,18.0,26.0,23.0,1.0,1
47.0,7.0,1.0,6.0,149.0,890.61,0.08,13.2,67.47,11756.11,0.3,653.12,40.0,4.0,7.0,9.0,18.0,45.0,83.0,66.0,13.0,1
19.0,3.0,3.0,2.0,77.0,391.73,0.08,12.25,31.98,4798.75,0.13,266.6,15.0,14.0,4.0,28.0,14.0,20.0,42.0,35.0,5.0,1
64.0,8.0,1.0,8.0,198.0,1174.29,0.04,22.28,52.7,26165.5,0.39,1453.64,48.0,73.0,16.0,32.0,22.0,39.0,119.0,79.0,12.0,1
110.0,25.0,21.0,9.0,663.0,4404.88,0.02,45.1,97.66,198677.1,1.47,11037.62,97.0,23.0,13.0,37.0,23.0,77.0,361.0,302.0,49.0,1
58.0,6.0,1.0,3.0,314.0,1961.85,0.05,20.0,98.09,39236.98,0.65,2179.83,58.0,17.0,0.0,18.0,16.0,60.0,164.0,150.0,11.0,1
167.0,26.0,1.0,23.0,671.0,4888.5,0.04,22.35,218.7,109272.46,1.63,6070.69,166.0,49.0,1.0,39.0,20.0,136.0,367.0,304.0,51.0,1
60.0,12.0,4.0,7.0,183.0,1080.96,0.04,26.43,40.9,28568.25,0.36,1587.13,58.0,0.0,2.0,13.0,25.0,35.0,109.0,74.0,16.0,1
14.0,3.0,1.0,1.0,46.0,218.72,0.08,12.5,17.5,2734.06,0.07,151.89,13.0,3.0,1.0,2.0,15.0,12.0,26.0,20.0,5.0,1
15.0,1.0,1.0,1.0,53.0,232.79,0.26,3.91,59.59,909.35,0.08,50.52,13.0,7.0,2.0,8.0,5.0,16.0,28.0,25.0,1.0,1
120.0,7.0,3.0,4.0,1002.0,7090.97,0.02,59.93,118.33,424927.99,2.36,23607.11,120.0,42.0,0.0,36.0,28.0,107.0,544.0,458.0,13.0,1
28.0,6.0,1.0,5.0,86.0,477.69,0.07,13.73,34.79,6559.11,0.16,364.4,28.0,0.0,0.0,7.0,21.0,26.0,52.0,34.0,8.0,1
64.0,12.0,8.0,7.0,368.0,2358.66,0.03,36.58,64.48,86270.84,0.79,4792.82,54.0,18.0,10.0,80.0,26.0,59.0,202.0,166.0,23.0,1
61.0,7.0,1.0,4.0,304.0,1893.56,0.05,19.66,96.31,37229.33,0.63,2068.3,49.0,0.0,12.0,11.0,16.0,59.0,159.0,145.0,13.0,1
3.0,1.0,1.0,1.0,10.0,33.22,0.33,3.0,11.07,99.66,0.01,5.54,3.0,0.0,0.0,1.0,6.0,4.0,6.0,4.0,1.0,1
